time,value
00:00:00,69
00:01:00,71
00:02:00,70
00:03:00,70
00:04:00,69
00:05:00,72
00:06:00,70
00:07:00,66
00:08:00,58
00:09:00,71
00:10:00,71
00:11:00,68
00:12:00,66
00:13:00,71
00:14:00,69
00:15:00,61
00:16:00,64
00:17:00,71
00:18:00,70
00:19:00,70
00:20:00,70
00:21:00,68
00:22:00,69
00:23:00,70
00:24:00,72
00:25:00,72
00:26:00,72
00:27:00,73
00:28:00,76
00:29:00,85
00:30:00,84
00:31:00,85
00:32:00,76
00:33:00,79
00:34:00,81
00:35:00,77
00:36:00,81
00:37:00,85
00:38:00,93
00:39:00,85
00:40:00,87
00:41:00,88
00:42:00,88
00:43:00,85
00:44:00,87
00:45:00,90
00:46:00,90
00:47:00,82
00:48:00,77
00:49:00,76
00:50:00,74
00:51:00,71
00:52:00,70
00:53:00,70
00:54:00,72
00:55:00,71
00:56:00,71
00:57:00,71
00:58:00,72
00:59:00,72
01:00:00,72
01:01:00,73
01:02:00,71
01:03:00,74
01:04:00,77
01:05:00,71
01:06:00,72
01:07:00,70
01:08:00,69
01:09:00,71
01:10:00,70
01:11:00,68
01:12:00,70
01:13:00,68
01:14:00,69
01:15:00,69
01:16:00,70
01:17:00,70
01:18:00,69
01:19:00,66
01:20:00,64
01:21:00,66
01:22:00,67
01:23:00,65
01:24:00,67
01:25:00,68
01:26:00,73
01:27:00,87
01:28:00,76
01:29:00,65
01:30:00,66
01:31:00,65
01:32:00,64
01:33:00,62
01:34:00,64
01:35:00,65
01:36:00,68
01:37:00,73
01:38:00,73
01:39:00,74
01:40:00,65
01:41:00,71
01:42:00,68
01:43:00,63
01:44:00,67
01:45:00,66
01:46:00,65
01:47:00,65
01:48:00,64
01:49:00,62
01:50:00,61
01:51:00,62
01:52:00,63
01:53:00,61
01:54:00,61
01:55:00,61
01:56:00,61
01:57:00,62
01:58:00,62
01:59:00,61
02:00:00,60
02:01:00,61
02:02:00,60
02:03:00,61
02:04:00,65
02:05:00,62
02:06:00,64
02:07:00,63
02:08:00,64
02:09:00,59
02:10:00,59
02:11:00,59
02:12:00,58
02:13:00,58
02:14:00,56
02:15:00,57
02:16:00,57
02:17:00,57
02:18:00,56
02:19:00,56
02:20:00,55
02:21:00,56
02:22:00,55
02:23:00,56
02:24:00,56
02:25:00,56
02:26:00,56
02:27:00,56
02:28:00,56
02:29:00,57
02:30:00,56
02:31:00,56
02:32:00,55
02:33:00,56
02:34:00,56
02:35:00,56
02:36:00,56
02:37:00,56
02:38:00,56
02:39:00,57
02:40:00,56
02:41:00,56
02:42:00,56
02:43:00,56
02:44:00,56
02:45:00,56
02:46:00,55
02:47:00,55
02:48:00,56
02:49:00,56
02:50:00,56
02:51:00,56
02:52:00,55
02:53:00,56
02:54:00,55
02:55:00,60
02:56:00,55
02:57:00,54
02:58:00,55
02:59:00,57
03:00:00,58
03:01:00,57
03:02:00,59
03:03:00,56
03:04:00,57
03:05:00,53
03:06:00,56
03:07:00,55
03:08:00,56
03:09:00,56
03:10:00,56
03:11:00,57
03:12:00,58
03:13:00,55
03:14:00,56
03:15:00,57
03:16:00,54
03:17:00,55
03:18:00,54
03:19:00,55
03:20:00,54
03:21:00,56
03:22:00,56
03:23:00,58
03:24:00,57
03:25:00,56
03:26:00,56
03:27:00,55
03:28:00,57
03:29:00,57
03:30:00,56
03:31:00,56
03:32:00,57
03:33:00,57
03:34:00,57
03:35:00,56
03:36:00,57
03:37:00,56
03:38:00,56
03:39:00,56
03:40:00,56
03:41:00,56
03:42:00,57
03:43:00,56
03:44:00,57
03:45:00,56
03:46:00,57
03:47:00,56
03:48:00,56
03:49:00,57
03:50:00,57
03:51:00,56
03:52:00,57
03:53:00,58
03:54:00,60
03:55:00,57
03:56:00,58
03:57:00,57
03:58:00,57
03:59:00,57
04:00:00,56
04:01:00,56
04:02:00,56
04:03:00,56
04:04:00,56
04:05:00,56
04:06:00,56
04:07:00,56
04:08:00,56
04:09:00,55
04:10:00,55
04:11:00,55
04:12:00,56
04:13:00,55
04:14:00,55
04:15:00,55
04:16:00,55
04:17:00,55
04:18:00,55
04:19:00,55
04:20:00,55
04:21:00,55
04:22:00,55
04:23:00,55
04:24:00,55
04:25:00,55
04:26:00,54
04:27:00,54
04:28:00,55
04:29:00,55
04:30:00,55
04:31:00,55
04:32:00,55
04:33:00,55
04:34:00,55
04:35:00,56
04:36:00,55
04:37:00,55
04:38:00,55
04:39:00,55
04:40:00,55
04:41:00,56
04:42:00,55
04:43:00,58
04:44:00,60
04:45:00,57
04:46:00,56
04:47:00,56
04:48:00,55
04:49:00,55
04:50:00,59
04:51:00,59
04:52:00,58
04:53:00,55
04:54:00,56
04:55:00,55
04:56:00,56
04:57:00,57
04:58:00,54
04:59:00,55
05:00:00,54
05:01:00,56
05:02:00,56
05:03:00,55
05:04:00,55
05:05:00,55
05:06:00,55
05:07:00,56
05:08:00,56
05:09:00,57
05:10:00,57
05:11:00,57
05:12:00,56
05:13:00,54
05:14:00,57
05:15:00,53
05:16:00,54
05:17:00,55
05:18:00,58
05:19:00,55
05:20:00,57
05:21:00,55
05:22:00,54
05:23:00,55
05:24:00,57
05:25:00,56
05:26:00,55
05:27:00,55
05:28:00,54
05:29:00,55
05:30:00,54
